week_label,week_end_date,close_price
2018-W46,2018-11-16,5540.17000000
2018-W47,2018-11-23,4248.09000000
2018-W48,2018-11-30,3974.56000000
2018-W49,2018-12-07,3363.61000000
2018-W50,2018-12-14,3194.89000000
2018-W51,2018-12-21,3838.77000000
2018-W52,2018-12-28,3952.57000000
2019-W01,2019-01-04,3827.02000000
2019-W02,2019-01-11,3681.89000000
2019-W03,2019-01-18,3627.13000000
2019-W04,2019-01-25,3575.26000000
2019-W05,2019-02-01,3478.26000000
2019-W06,2019-02-08,3657.64000000
2019-W07,2019-02-15,3598.42000000
2019-W08,2019-02-22,3969.83000000
2019-W09,2019-03-01,3865.48000000
2019-W10,2019-03-08,3933.91000000
2019-W11,2019-03-15,3933.91000000
2019-W12,2019-03-22,4000.00000000
2019-W13,2019-03-29,4101.72000000
2019-W14,2019-04-05,5030.18000000
2019-W15,2019-04-12,5068.42000000
2019-W16,2019-04-18,5305.04000000
2019-W17,2019-04-26,5178.66000000
2019-W18,2019-05-03,5793.74000000
2019-W19,2019-05-10,6397.95000000
2019-W20,2019-05-17,7158.20000000
2019-W21,2019-05-24,8064.52000000
2019-W22,2019-05-31,8431.70000000
2019-W23,2019-06-07,7968.13000000
2019-W24,2019-06-14,8410.43000000
2019-W25,2019-06-21,9910.80000000
2019-W26,2019-06-28,12315.00000000
2019-W27,2019-07-05,11136.00000000
2019-W28,2019-07-12,11628.00000000
2019-W29,2019-07-19,10406.00000000
2019-W30,2019-07-26,9861.93000000
2019-W31,2019-08-02,10471.00000000
2019-W32,2019-08-09,11820.00000000
2019-W33,2019-08-16,10471.00000000
2019-W34,2019-08-23,10428.00000000
2019-W35,2019-08-30,9578.54000000
2019-W36,2019-09-06,10384.00000000
2019-W37,2019-09-13,10225.00000000
2019-W38,2019-09-20,10163.00000000
2019-W39,2019-09-27,8012.82000000
2019-W40,2019-10-04,8210.18000000
2019-W41,2019-10-11,8354.22000000
2019-W42,2019-10-18,7968.13000000
2019-W43,2019-10-25,8650.52000000
2019-W44,2019-11-01,9225.09000000
2019-W45,2019-11-08,8802.82000000
2019-W46,2019-11-15,8474.58000000
2019-W47,2019-11-22,7342.14000000
2019-W48,2019-11-29,7757.95000000
2019-W49,2019-12-06,7457.12000000
2019-W50,2019-12-13,7267.44000000
2019-W51,2019-12-20,7220.22000000
2019-W52,2019-12-27,7230.66000000
2020-W01,2020-01-03,7326.01000000
2020-W02,2020-01-10,8071.03000000
2020-W03,2020-01-17,8865.25000000
2020-W04,2020-01-24,8481.76000000
2020-W05,2020-01-31,9310.99000000
2020-W06,2020-02-07,9727.63000000
2020-W07,2020-02-14,10363.00000000
2020-W08,2020-02-21,9718.17000000
2020-W09,2020-02-28,8620.69000000
2020-W10,2020-03-06,9132.42000000
2020-W11,2020-03-13,5437.74000000
2020-W12,2020-03-20,5963.03000000
2020-W13,2020-03-27,6693.44000000
2020-W14,2020-04-03,6788.87000000
2020-W15,2020-04-09,7315.29000000
2020-W16,2020-04-17,7077.14000000
2020-W17,2020-04-24,7530.12000000
2020-W18,2020-05-01,8733.62000000
2020-W19,2020-05-08,9960.16000000
2020-W20,2020-05-15,9337.07000000
2020-W21,2020-05-22,9174.31000000
2020-W22,2020-05-29,9398.50000000
2020-W23,2020-06-05,9727.63000000
2020-W24,2020-06-12,9425.07000000
2020-W25,2020-06-19,9302.33000000
2020-W26,2020-06-26,9165.90000000
2020-W27,2020-07-03,9082.65000000
2020-W28,2020-07-10,9233.61000000
2020-W29,2020-07-17,9165.90000000
2020-W30,2020-07-24,9594.72000000
2020-W31,2020-07-31,11328.00000000
2020-W32,2020-08-07,11508.00000000
2020-W33,2020-08-14,11810.00000000
2020-W34,2020-08-21,11678.00000000
2020-W35,2020-08-28,11513.00000000
2020-W36,2020-09-04,10588.00000000
2020-W37,2020-09-11,10338.00000000
2020-W38,2020-09-18,10878.00000000
2020-W39,2020-09-25,10732.00000000
2020-W40,2020-10-02,10524.00000000
2020-W41,2020-10-09,11046.00000000
2020-W42,2020-10-16,11325.00000000
2020-W43,2020-10-23,12929.00000000
2020-W44,2020-10-30,13637.00000000
2020-W45,2020-11-06,15486.00000000
2020-W46,2020-11-13,16210.00000000
2020-W47,2020-11-20,18640.00000000
2020-W48,2020-11-27,17079.00000000
2020-W49,2020-12-04,18979.00000000
2020-W50,2020-12-11,17990.00000000
2020-W51,2020-12-18,22774.00000000
2020-W52,2020-12-24,23333.00000000
2020-W53,2020-12-31,29170.00000000
2021-W01,2021-01-08,39037.00000000
2021-W02,2021-01-15,35585.00000000
2021-W03,2021-01-22,33555.00000000
2021-W04,2021-01-29,34569.00000000
2021-W05,2021-02-05,37771.00000000
2021-W06,2021-02-12,47678.00000000
2021-W07,2021-02-19,55353.00000000
2021-W08,2021-02-26,46234.00000000
2021-W09,2021-03-05,49254.00000000
2021-W10,2021-03-12,56750.00000000
2021-W11,2021-03-19,58411.00000000
2021-W12,2021-03-26,54010.00000000
2021-W13,2021-04-01,58737.00000000
2021-W14,2021-04-09,58377.00000000
2021-W15,2021-04-16,61831.00000000
2021-W16,2021-04-23,50963.00000000
2021-W17,2021-04-30,57081.00000000
2021-W18,2021-05-07,57657.00000000
2021-W19,2021-05-14,50193.00000000
2021-W20,2021-05-21,36187.00000000
2021-W21,2021-05-28,35813.00000000
2021-W22,2021-06-04,36866.00000000
2021-W23,2021-06-11,37251.00000000
2021-W24,2021-06-18,35283.00000000
2021-W25,2021-06-25,32173.00000000
2021-W26,2021-07-02,33320.00000000
2021-W27,2021-07-09,33457.00000000
2021-W28,2021-07-16,31911.00000000
2021-W29,2021-07-23,32274.00000000
2021-W30,2021-07-30,39920.00000000
2021-W31,2021-08-06,42948.00000000
2021-W32,2021-08-13,46471.00000000
2021-W33,2021-08-20,48688.00000000
2021-W34,2021-08-27,48328.00000000
2021-W35,2021-09-03,50543.00000000
2021-W36,2021-09-10,45656.00000000
